Press Release Identifier,Headline,Subhead,Date,url,Press Release,Year
2019 | Entry No. 16,Attorney General Ellison sues federal government to stop illegal gag rule on women’s reproductive healthcare,Multistate lawsuit alleges new Trump administration rule is illegal and unconstitutional; Would have disproportionate impact on women in Greater Minnesota,5-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/05_TitleXGagRule.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/05_TitleXGagRule.asp,2019
2019 | Entry No. 17,Attorney General Ellison sues to protect Minnesota workers,Joins multi-state lawsuit challenging federal rollback of workplace-injury and -illness reporting rules,6-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/06_OSHALawsuit.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/06_OSHALawsuit.asp,2019
2019 | Entry No. 18,Attorney General Ellison seeks judgment in lawsuit against tech-support scam as part of nationwide crackdown on scammers,"Files motion for default judgment against Teknicians, Inc., warns Minnesota consumers about tech-support scams as part of Tech Support Takedown",7-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/07_TechSupportScamTakedown.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/07_TechSupportScamTakedown.asp,2019
2019 | Entry No. 19,Attorney General Ellison announces settlements with Fiat Chrysler and Bosch for unlawful emissions-cheating scheme,Minnesota to collect $3.5 million from companies for their illegal practices,12-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/12_EmissionsCheatingSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/12_EmissionsCheatingSettlement.asp,2019
2019 | Entry No. 20,Attorney General’s Office wins settlement with four fast-food chains to end no-poach agreements,"Under multi-state agreement, Dunkin’, Arby’s, Five Guys, and Little Caesars will drop franchise provisions that limit recruitment and hiring of workers in fast-food industry",13-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/13_NoPoachingSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/13_NoPoachingSettlement.asp,2019
2019 | Entry No. 21,Attorney General Ellison opposes move to delay protecting people from payday lenders,Joins letter with 24 other AGs to call on CFPB to enforce rule finalized in 2017,20-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/20_PaydayLenderRule.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/20_PaydayLenderRule.asp,2019
2019 | Entry No. 22,Attorney General Ellison moves to protect Minnesota’s Liberian community,Leads multistate coalition of AGs in supporting Liberians who have filed to block termination of DED status,26-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/26_LiberianDEDStatus.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/26_LiberianDEDStatus.asp,2019
2019 | Entry No. 23,Attorney General Ellison defends Affordable Care Act in court,Joins coalition of 21 attorneys general in filing opening brief in Texas v. US,26-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/26_AffordableCareAct.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/26_AffordableCareAct.asp,2019
2019 | Entry No. 24,"One year ahead of census, Attorney General Ellison and coalition challenge citizenship question at Supreme Court",File brief in Trump administration’s appeal of ruling that stripped question from census,1-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/01_CensusCitizenQuestion.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/01_CensusCitizenQuestion.asp,2019
2019 | Entry No. 25,Attorney General Ellison joins multistate coalition suing Trump Administration for gutting key nutritional standards for school meals,"At least 600,000 Minnesota schoolchildren affected by “unlawful” revisions to sodium limits, whole-grain content requirements for school breakfasts and lunches",3-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/03_NutritionalStandards.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/03_NutritionalStandards.asp,2019
2019 | Entry No. 26,Attorney General Ellison defends union representation of workers at Supreme Court,Files two briefs in support of lower-court rulings that upheld exclusive union representation for workers,3-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/03_SupremeCourtUnion.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/03_SupremeCourtUnion.asp,2019
2019 | Entry No. 27,Attorney General Ellison names members of task force on lowering pharmaceutical drug prices,"15 members chosen through public process include medical practitioners, labor and industry representatives, legislators, and people affected by high cost of pharmaceutical drugs",4-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/04_TaskForceMembers.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/04_TaskForceMembers.asp,2019
2019 | Entry No. 28,Attorney General Ellison joins multi-state effort to protect women’s access to reproductive health,"In amicus brief, asks 6th Circuit to uphold lower court finding that Kentucky law is unconstitutional",5-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/05_WomensHealthAmicusBrief.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/05_WomensHealthAmicusBrief.asp,2019
2019 | Entry No. 29,Attorney General Ellison issues a statement on the abrupt closure of Argosy University’s Twin Cities campus,No description available.,9-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/09_Argosy.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/09_Argosy.asp,2019
2019 | Entry No. 30,Attorney General Ellison issues a statement regarding the State’s lawsuit against the Minnesota School of Business (“MSB”) and Globe University (“Globe”),No description available.,9-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/09_GlobeMSB.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/09_GlobeMSB.asp,2019
2019 | Entry No. 31,Attorney General Ellison continues support for women’s reproductive rights,Joins coalition of 21 attorneys general in amicus brief in asking 5th Circuit to uphold permanent injunction on ‘plainly unconstitutional’ Mississippi law,15-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/15_ReproductiveRights.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/15_ReproductiveRights.asp,2019
2019 | Entry No. 32,Attorney General Ellison challenges proposal to undermine mercury and air-toxics standards,"Joins coalition to oppose EPA’s ‘unlawful’ proposed finding that it is no longer ‘appropriate’ to regulate toxic air pollution from power plants — ‘Once again, the Administration is abandoning its duty to protect the American people,’ Ellison says",19-Apr-19,https://www.ag.state.mn.us/Office/Communications/2019/04/19_EPA.asp,https://www.ag.state.mn.us/Office/Communications/2019/04/19_EPA.asp,2019
2019 | Entry No. 33,Attorney General Ellison: Minnesota needs ‘reliable mechanism for renaming places that evoke or celebrate racist parts of our past’,Statement on DNR appeal of Bde Maka Ska: ‘We need a way to reflect our values today and pass along the state we want our children to inherit tomorrow’,1-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/01_DNRappeal.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/01_DNRappeal.asp,2019
2019 | Entry No. 34,"Decrying ‘illegal behavior rooted in greed,’ Attorney General Ellison announces major lawsuit against manufacturers of generic pharmaceutical drugs, part of ‘largest cartel in history’","Joins 42 other states and Puerto Rico in alleging 20 companies illegally allocated and fixed prices on 112 generic drugs that treat cancer, diabetes, MS, other conditions<br>Rep. Rod Hamilton denounces ‘greedy corporate cartel that is stealing from the sick, the dying, and the disabled’",13-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/13_PharmaceuticalPriceFixing.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/13_PharmaceuticalPriceFixing.asp,2019
2019 | Entry No. 35,Attorney General Ellison defends rights of gender non-binary people in court,Joins amicus brief in support of individual who requested passport with alternative marker for sex,15-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/15_GenderIdentityOnPassports.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/15_GenderIdentityOnPassports.asp,2019
2019 | Entry No. 36,Attorney General Ellison: Public school districts may not restrict student participation in graduation ceremonies because of unpaid meal debt,"Binding opinion issued in response to request from Commissioner of Education, following Legal Aid reports of some districts restricting student participation",15-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/15_SchoolMealDebtOpinion.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/15_SchoolMealDebtOpinion.asp,2019
2019 | Entry No. 37,State of Minnesota adds Sackler family as defendants in lawsuit against Purdue Pharma,"Attorney General Ellison announces State asking court to amend complaint against opioid manufacturer to include eight members of Sackler family, which owns company, as individual defendants",17-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/17_PurdueAmendedComplaint.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/17_PurdueAmendedComplaint.asp,2019
2019 | Entry No. 38,Attorney General Ellison sues to protect Minnesotans from discrimination in health care,"Joins coalition of 23 states and municipalities in suing to block new Trump Administration rule that would allow businesses and healthcare practitioners to deny care solely on the basis of personal views, not lawful medical need",22-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/22_HealthCareDiscrimination.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/22_HealthCareDiscrimination.asp,2019
2019 | Entry No. 39,Attorney General Ellison fights federal efforts to make it harder for Minnesotans to afford their lives,"Opposes new federal rules that would reverse overtime protections for workers and weaken protections against predatory payday lenders Ellison: ‘As the People’s Lawyer, I’ll protect Minnesotans when the federal government won’t’",24-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/24_ConsumerProtections.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/24_ConsumerProtections.asp,2019
2019 | Entry No. 40,Attorney General Ellison: Legislature takes steps toward helping people afford their lives and live with dignity and respect — with more to be done,"Session ends with new tools AG Ellison fought for to fight wage theft and opioid crisis, protect public’s money held in HMOs’ charitable assets, regulate PBMs, protect against elder abuse — and with first increase to AGO budget in 6 years",25-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/25_LegislativeSession.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/25_LegislativeSession.asp,2019
2019 | Entry No. 41,"Attorney General Ellison announces settlement in data breach affecting 8,000 Minnesotans",Sixteen states settle claims related to 2015 data breach in first-ever multi-state lawsuit filed under HIPAA,30-May-19,https://www.ag.state.mn.us/Office/Communications/2019/05/30_HIPAADataBreachSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/05/30_HIPAADataBreachSettlement.asp,2019
2019 | Entry No. 42,Attorney General Ellison joins motion to unseal generic drug price-fixing complaint,Marks latest step in second case against ‘largest cartel in history’,7-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/07_UnsealDrugPriceComplaint.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/07_UnsealDrugPriceComplaint.asp,2019
2019 | Entry No. 43,Attorney General Ellison: Rash of overdoses why Minnesota investigating and suing opioid manufacturers,"Minnesota Attorney General Keith Ellison issued the following statement in response to a Minneapolis Police Department report of a record-high 50 overdoses, including one suspected death, during the week of May 28 – June 5, 2019",7-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/07_Overdoses.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/07_Overdoses.asp,2019
2019 | Entry No. 44,Attorney General Ellison leads AGs in asking Congress to protect integrity of America’s elections,"Leads 21 other AGs in asking for grants, security standards, and bipartisan election-security legislation to address “persistent threats to our election systems”",18-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/18_ElectionSystemThreats.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/18_ElectionSystemThreats.asp,2019
2019 | Entry No. 45,Attorney General Ellison’s office wins more than $1 million in debt relief for former ITT Tech students,CUSO agrees to forego collection of outstanding loans and cease doing business,19-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/19_ITTTech.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/19_ITTTech.asp,2019
2019 | Entry No. 46,"Attorney General Ellison permanently bans deceptive charity, Breast Cancer Outreach Foundation, from operating in Minnesota","Obtains settlement prohibiting charity from any further activity in Minnesota due to deceptive solicitation practices, encourages Minnesotans to ‘do your homework’ before giving",20-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/20_BreastCancerOutreachFoundation.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/20_BreastCancerOutreachFoundation.asp,2019
2019 | Entry No. 47,Minnesota joins lawsuit to block T-Mobile/Sprint mega-merger,"AG Ellison joins 13 other AGs in amended complaint that alleges merger is anti-competitive, will drive up prices for consumers, cost jobs, and hurt rural areas",21-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/21_TMobileSprintMerger.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/21_TMobileSprintMerger.asp,2019
2019 | Entry No. 48,"AG Ellison: ‘Every Minnesotan, no matter their citizenship or immigration status, must be counted’",Ellison pledges to use ‘every legal recourse’ to keep ‘clearly prejudicial’ citizenship question off 2020 Census,27-Jun-19,https://www.ag.state.mn.us/Office/Communications/2019/06/27_Census2020.asp,https://www.ag.state.mn.us/Office/Communications/2019/06/27_Census2020.asp,2019
2019 | Entry No. 49,Attorney General Ellison defends human rights of children in civil immigration detention,Joins coalition of 21 AGs in filing amicus brief asking for immediate relief from threats to children’s health and welfare,10-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/10_HumanRights.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/10_HumanRights.asp,2019
2019 | Entry No. 50,Attorney General Ellison files Supreme Court brief to protect LGBTQ+ employees from workplace discrimination,Joins 21 other AGs in brief on three cases of discrimination based on sexual orientation and gender identity that Court will hear together in October,10-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/10_WorkplaceDiscrimination.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/10_WorkplaceDiscrimination.asp,2019
2019 | Entry No. 51,"Attorney General Ellison reaches settlement in data breach affecting 38,000 Minnesotans",Thirty states settle claims related to 2014–15 data breach that exposed sensitive medical information,11-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/11_PremeraSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/11_PremeraSettlement.asp,2019
2019 | Entry No. 52,Attorney General Ellison: ‘President Trump’s cruelty violates Minnesotans’ sense of decency’,"Ellison tells Minnesotans, ‘Regardless of your immigration status, you have legal and constitutional rights — know them and exercise them. As long as I’m the People’s Lawyer, we’ll keep fighting for everyone’s dignity, no exceptions’",12-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/12_ICERaids.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/12_ICERaids.asp,2019
2019 | Entry No. 53,Attorney General Ellison announces new Wage Theft Unit in AGO,"Will investigate and litigate complaints of wage theft and other workplace fraud and abuse perpetrated against Minnesotans of all backgrounds, especially the most vulnerable",15-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/15_WageTheftUnit.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/15_WageTheftUnit.asp,2019
2019 | Entry No. 54,THURSDAY–SATURDAY: AG Ellison to listen to Minnesotans in south-central and southwest Minnesota,"Minnesota Attorney General Keith Ellison will co-host a public roundtable discussion on wage theft and two listening sessions with local legislators, as well as meet privately with a variety of community leaders and workers, during three days of travel in south-central and southwest Minnesota, starting this Thursday, July 18 through Saturday, July 20.",17-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/17_Roundtables.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/17_Roundtables.asp,2019
2019 | Entry No. 55,Attorney General Ellison and 49 other AGs secure settlement from Equifax in largest data-breach in history,$600M settlement includes up to $425 million in consumer restitution — comes after investigation into massive 2017 data breach that affected 147M Americans,22-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/22_EquifaxSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/22_EquifaxSettlement.asp,2019
2019 | Entry No. 56,Minnesota reaches settlement with pharmaceutical company over ‘pay-for-delay’ behavior,"Endo settles with 18 states over charges it protected its monopoly on Lidoderm through illegal, anti-competitive conduct",25-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/25_EndoSettlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/25_EndoSettlement.asp,2019
2019 | Entry No. 57,Attorney General Ellison: T-Mobile/Sprint mega-merger would still hurt Minnesotans’ ability to afford their lives,"Speculative deal with DISH Network does not resolve concerns about impacts on consumers, workers, and communities",26-Jul-19,https://www.ag.state.mn.us/Office/Communications/2019/07/26_TMobileSprint.asp,https://www.ag.state.mn.us/Office/Communications/2019/07/26_TMobileSprint.asp,2019
2019 | Entry No. 58,Attorney General Ellison moves to defend Liberians from deportation,Co-leads coalition of 15 states in amicus brief supporting suit to halt Trump’s termination of DED,2-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/02_DED.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/02_DED.asp,2019
2019 | Entry No. 59,"Sackler family knew but denied and downplayed risks of opioids, stigmatized addicted people, then moved to profit from addiction","AG Ellison’s office files unredacted complaint that shows family that controls Purdue paid themselves $4B in profit from opioids, while calling addicted people ‘criminals,’ ‘scum of the earth’ — then exploiting addiction treatment as an ‘attractive market’ that is ‘naturally linked’ to the crisis they created",5-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/05_PurdueComplaint.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/05_PurdueComplaint.asp,2019
2019 | Entry No. 60,Attorney General Ellison wins expansion of federal-loan discharge for MSB/Globe University students,"Following advocacy by AG Ellison’s office, the US Dept. of Education will now allow students who withdrew any time after court found schools had engaged in fraud to apply to discharge their federal loans",8-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/08_MSBGlobeLoans.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/08_MSBGlobeLoans.asp,2019
2019 | Entry No. 61,"Attorney General Ellison permanently bans sham hospice charity, New Hope Foundation, from operating in Minnesota",Obtains settlement prohibiting sham hospice charity from any further activity in Minnesota due to its misleading solicitation practices and misuse of donations,9-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/09_NewHopeFoundation.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/09_NewHopeFoundation.asp,2019
2019 | Entry No. 62,Attorney General Ellison files lawsuit against ‘public charge’ rule,"New rule ‘bait-and-switch’ means families and children will have less access to food, healthcare, and shelter, meaning more burden for all communities",15-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/15_PublicChargeRule.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/15_PublicChargeRule.asp,2019
2019 | Entry No. 63,Attorney General Ellison condemns Trump Administration effort to allow discrimination in healthcare,"Proposed HHS rule will eliminate ACA’s protections against discrimination for women, people with disabilities, the LGBTQ community, and other vulnerable communities",16-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/16_ACA.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/16_ACA.asp,2019
2019 | Entry No. 64,Attorney General Ellison supports public release of Boy Scouts’ ‘Perversion Files’ with safeguards for rights of accused,"As state’s chief legal officer, seeks disclosure in the interests of justice, transparency, and protecting children",20-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/20_BoyScouts.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/20_BoyScouts.asp,2019
2019 | Entry No. 65,"Minnesotans to get refunds, debt relief, and credit repair from Preferred Credit, Inc.",Attorney General Ellison’s office announces settlement that affects more than 400 Minnesotans,21-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/21_PreferredCredit.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/21_PreferredCredit.asp,2019
2019 | Entry No. 66,Attorney General Ellison joins 51 attorneys general and 12 companies in adopting principles to fight illegal robocalls,Prevention and enforcement at heart of historic agreement for protecting consumers,22-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/22_Robocalls.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/22_Robocalls.asp,2019
2019 | Entry No. 67,Attorney General Ellison fights radical new Trump Administration rule that puts legal residents at risk of deportation,"Joins 17 other AGs in asking court to block rule that was unlawfully implemented, lacks clear legal standards, and will harm their states and communities",22-Aug-19,https://www.ag.state.mn.us/Office/Communications/2019/08/22_ExpeditedRemoval.asp,https://www.ag.state.mn.us/Office/Communications/2019/08/22_ExpeditedRemoval.asp,2019
2019 | Entry No. 68,"Attorney General Ellison files amicus brief in support of public release of Boy Scouts’ ‘Perversion Files,’ with safeguards for accused","Because “substantial public interest in disclosure … must be balanced against fairness and privacy concerns,” recommends appointment of Special Master to review each file",6-Sep-19,https://www.ag.state.mn.us/Office/Communications/2019/09/06_BoyScouts.asp,https://www.ag.state.mn.us/Office/Communications/2019/09/06_BoyScouts.asp,2019
2019 | Entry No. 69,"AG Ellison, coalition ask court to block Trump Administration’s healthcare discrimination rule","Discriminatory ‘refusal of care’ rule would drastically expand healthcare providers’ rights to deny necessary healthcare to anyone they choose, solely on the basis of their own ‘religious beliefs or moral convictions’",9-Sep-19,https://www.ag.state.mn.us/Office/Communications/2019/09/09_RefusalOfCare.asp,https://www.ag.state.mn.us/Office/Communications/2019/09/09_RefusalOfCare.asp,2019
2019 | Entry No. 70,Attorney General Ellison launches new biweekly podcast: ‘Affording Your Life with Keith Ellison’,"Dedicated to fairness, justice, and consumer information to help people afford their lives; new episode to be released every other Monday",9-Sep-19,https://www.ag.state.mn.us/Office/Communications/2019/09/09_Podcast.asp,https://www.ag.state.mn.us/Office/Communications/2019/09/09_Podcast.asp,2019
2019 | Entry No. 71,Attorney General Ellison: Northern Metals shutdown and settlement ‘better than what we could have achieved at trial’ and a ‘win for the people of North Minneapolis’,"In addition to shutting down for good at 6:00 p.m. today, Northern Metals admits to wrongdoing and will pay civil penalty in settlement with State",23-Sep-19,https://www.ag.state.mn.us/Office/Communications/2019/09/23_NorthernMetals.asp,https://www.ag.state.mn.us/Office/Communications/2019/09/23_NorthernMetals.asp,2019
2019 | Entry No. 72,Attorney General Ellison supports banning discrimination on the basis of religion in immigration decisions,Led coalition of 19 AGs in supporting NO BAN Act being raised today in Congress in response to Trump Administration Muslim Ban,24-Sep-19,https://www.ag.state.mn.us/Office/Communications/2019/09/24_NOBANact.asp,https://www.ag.state.mn.us/Office/Communications/2019/09/24_NOBANact.asp,2019
